Date,Open,High,Low,Close
03/07/2024,"3,846.50","3,938.27","3,740.43","3,875.72"
03/06/2024,"3,522.00","3,898.70","3,451.46","3,851.85"
03/05/2024,"3,584.34","3,827.69","3,235.00","3,522.67"
03/04/2024,"3,478.15","3,607.98","3,440.62","3,580.82"
03/03/2024,"3,409.29","3,484.01","3,370.06","3,478.15"
03/02/2024,"3,429.90","3,459.74","3,399.01","3,409.28"
03/01/2024,"3,349.24","3,452.69","3,305.01","3,430.03"
02/29/2024,"3,324.13","3,519.37","3,319.00","3,352.01"
02/28/2024,"3,249.76","3,487.03","3,195.82","3,322.57"
02/27/2024,"3,186.67","3,287.64","3,163.26","3,249.11"
02/26/2024,"3,109.75","3,196.99","3,039.54","3,186.08"
02/25/2024,"2,985.22","3,116.61","2,984.54","3,109.45"
02/24/2024,"2,942.65","3,003.36","2,907.70","2,985.87"
02/23/2024,"2,984.73","2,991.97","2,908.01","2,942.65"
02/22/2024,"2,926.96","3,033.31","2,907.01","2,985.23"
02/21/2024,"2,990.40","3,028.77","2,871.36","2,924.98"
02/20/2024,"2,968.00","3,000.82","2,880.00","2,990.41"
02/19/2024,"2,845.00","2,967.62","2,845.00","2,966.56"
02/18/2024,"2,785.81","2,845.00","2,768.06","2,845.00"
02/17/2024,"2,790.99","2,809.25","2,724.38","2,786.64"
02/16/2024,"2,795.12","2,858.40","2,754.43","2,790.99"
02/15/2024,"2,780.61","2,867.08","2,765.57","2,795.11"
02/14/2024,"2,632.45","2,787.24","2,620.23","2,781.24"
02/13/2024,"2,633.77","2,685.11","2,595.53","2,632.45"
02/12/2024,"2,504.34","2,650.99","2,473.24","2,630.51"
02/11/2024,"2,511.16","2,538.09","2,494.02","2,504.44"
02/10/2024,"2,503.20","2,515.84","2,475.00","2,511.15"
02/09/2024,"2,425.30","2,522.65","2,419.04","2,503.19"
02/08/2024,"2,429.82","2,460.00","2,414.00","2,425.29"
02/07/2024,"2,381.77","2,442.99","2,353.52","2,429.60"
02/06/2024,"2,286.64","2,389.78","2,284.02","2,382.01"
02/05/2024,"2,299.53","2,334.62","2,268.42","2,286.70"
02/04/2024,"2,299.80","2,309.24","2,268.73","2,299.53"
02/03/2024,"2,296.74","2,327.43","2,293.51","2,299.76"
02/02/2024,"2,304.01","2,322.56","2,280.14","2,296.74"
02/01/2024,"2,276.83","2,309.65","2,243.00","2,304.29"
01/31/2024,"2,380.12","2,381.99","2,265.28","2,276.69"
01/30/2024,"2,306.62","2,389.99","2,298.40","2,380.36"
01/29/2024,"2,263.14","2,312.27","2,235.46","2,307.18"
01/28/2024,"2,271.23","2,306.78","2,249.13","2,263.23"
01/27/2024,"2,259.02","2,282.00","2,252.06","2,271.23"
01/26/2024,"2,217.74","2,280.00","2,195.90","2,259.02"
01/25/2024,"2,215.26","2,239.75","2,171.63","2,217.73"
01/24/2024,"2,202.41","2,260.45","2,196.94","2,214.26"
01/23/2024,"2,325.61","2,348.05","2,166.02","2,202.41"
01/22/2024,"2,472.27","2,472.27","2,309.26","2,325.47"
01/21/2024,"2,465.55","2,480.28","2,463.26","2,472.16"
01/20/2024,"2,486.62","2,494.76","2,458.71","2,465.55"
01/19/2024,"2,452.61","2,502.00","2,415.00","2,487.71"
01/18/2024,"2,524.40","2,545.46","2,425.01","2,453.76"
01/17/2024,"2,606.14","2,610.49","2,517.21","2,523.95"
01/16/2024,"2,520.59","2,613.78","2,499.79","2,605.98"
01/15/2024,"2,525.92","2,550.32","2,469.23","2,521.18"
01/14/2024,"2,573.00","2,588.58","2,483.32","2,524.97"
01/13/2024,"2,522.56","2,578.55","2,455.52","2,573.01"
01/12/2024,"2,604.16","2,715.00","2,503.68","2,522.52"
01/11/2024,"2,529.03","2,689.25","2,511.87","2,604.16"
01/10/2024,"2,319.60","2,531.97","2,319.06","2,527.97"
01/09/2024,"2,339.83","2,364.35","2,243.74","2,319.94"
01/08/2024,"2,240.53","2,358.98","2,170.02","2,339.12"
01/07/2024,"2,241.50","2,256.00","2,224.00","2,240.68"
01/06/2024,"2,247.01","2,277.86","2,218.63","2,240.90"
01/05/2024,"2,274.61","2,288.87","2,209.33","2,246.71"
01/04/2024,"2,226.34","2,295.57","2,199.00","2,274.61"
01/03/2024,"2,365.31","2,384.01","2,106.80","2,227.15"
01/02/2024,"2,339.05","2,430.92","2,324.13","2,364.12"
01/01/2024,"2,282.63","2,348.00","2,261.42","2,337.00"
12/31/2023,"2,300.00","2,318.29","2,277.82","2,282.96"
12/30/2023,"2,286.18","2,322.19","2,265.50","2,300.00"
12/29/2023,"2,345.99","2,385.00","2,282.74","2,287.03"
12/28/2023,"2,360.27","2,445.00","2,340.44","2,344.39"
12/27/2023,"2,223.94","2,375.00","2,212.55","2,360.29"
12/26/2023,"2,271.72","2,284.61","2,180.66","2,223.97"
12/25/2023,"2,278.96","2,303.20","2,249.48","2,271.43"
12/24/2023,"2,291.05","2,325.70","2,274.06","2,278.96"
12/23/2023,"2,317.22","2,330.73","2,269.13","2,291.04"
12/22/2023,"2,249.15","2,342.18","2,232.81","2,315.49"
12/21/2023,"2,178.12","2,280.45","2,177.65","2,248.90"
12/20/2023,"2,184.89","2,263.70","2,158.85","2,177.02"
12/19/2023,"2,217.21","2,253.40","2,136.00","2,184.89"
12/18/2023,"2,236.51","2,237.26","2,118.09","2,215.79"
12/17/2023,"2,229.15","2,244.13","2,199.68","2,236.18"
12/16/2023,"2,245.40","2,259.61","2,213.00","2,230.24"
12/15/2023,"2,298.25","2,332.43","2,225.26","2,244.13"
12/14/2023,"2,264.23","2,313.89","2,230.00","2,298.09"
12/13/2023,"2,170.54","2,265.00","2,147.03","2,260.65"
12/12/2023,"2,216.91","2,241.48","2,166.44","2,170.44"
12/11/2023,"2,361.34","2,366.17","2,157.84","2,212.60"
12/10/2023,"2,354.27","2,376.93","2,323.22","2,360.33"
12/09/2023,"2,367.37","2,401.70","2,341.13","2,354.44"
12/08/2023,"2,372.70","2,388.27","2,340.52","2,367.10"
12/07/2023,"2,247.00","2,382.00","2,221.57","2,370.30"
12/06/2023,"2,273.53","2,311.55","2,236.86","2,247.00"
12/05/2023,"2,233.12","2,307.46","2,190.72","2,274.89"
12/04/2023,"2,183.85","2,273.55","2,183.85","2,234.71"
12/03/2023,"2,170.00","2,184.15","2,151.24","2,183.85"
12/02/2023,"2,091.25","2,180.68","2,083.70","2,169.38"
12/01/2023,"2,046.20","2,109.79","2,041.36","2,091.25"
11/30/2023,"2,028.52","2,052.12","2,022.81","2,046.19"
11/29/2023,"2,054.47","2,071.97","2,020.04","2,027.57"
11/28/2023,"2,014.78","2,076.08","1,996.16","2,054.47"
11/27/2023,"2,074.18","2,080.54","1,987.31","2,014.87"
11/26/2023,"2,084.78","2,094.64","2,037.84","2,074.18"
11/25/2023,"2,086.12","2,091.48","2,067.27","2,084.78"
11/24/2023,"2,068.61","2,130.80","2,060.41","2,087.92"
11/23/2023,"2,082.80","2,088.51","2,041.52","2,068.61"
11/22/2023,"1,985.54","2,091.38","1,932.50","2,082.04"
11/21/2023,"2,025.41","2,035.00","1,952.58","1,986.24"
11/20/2023,"1,984.58","2,068.10","1,977.42","2,024.90"
11/19/2023,"1,961.53","1,987.89","1,945.00","1,983.67"
11/18/2023,"1,945.66","1,972.14","1,918.63","1,961.52"
11/17/2023,"1,956.32","1,991.00","1,908.39","1,946.60"
11/16/2023,"2,048.57","2,090.66","1,939.37","1,956.32"
11/15/2023,"1,981.95","2,062.72","1,968.02","2,048.93"
11/14/2023,"2,059.60","2,071.17","1,938.70","1,981.95"
11/13/2023,"2,060.08","2,116.60","2,031.30","2,061.00"
11/12/2023,"2,045.51","2,066.43","2,018.00","2,060.08"
11/11/2023,"2,092.88","2,094.52","2,035.19","2,044.75"
11/10/2023,"2,057.50","2,135.70","2,057.50","2,094.24"
11/09/2023,"1,888.15","2,086.12","1,883.94","2,060.14"
11/08/2023,"1,893.36","1,904.98","1,873.98","1,888.25"
11/07/2023,"1,892.75","1,907.49","1,851.63","1,893.34"
11/06/2023,"1,869.11","1,914.73","1,869.11","1,891.66"
11/05/2023,"1,839.54","1,912.50","1,839.54","1,869.71"
11/04/2023,"1,829.09","1,848.00","1,825.48","1,839.54"
11/03/2023,"1,805.01","1,833.61","1,779.62","1,829.48"
11/02/2023,"1,857.41","1,874.79","1,788.22","1,805.63"
11/01/2023,"1,814.60","1,853.58","1,785.63","1,853.58"
10/31/2023,"1,801.58","1,819.97","1,784.61","1,814.72"
10/30/2023,"1,797.52","1,830.00","1,779.22","1,802.05"
10/29/2023,"1,779.42","1,807.14","1,764.64","1,797.52"
10/28/2023,"1,781.36","1,801.20","1,775.76","1,779.42"
10/27/2023,"1,798.87","1,810.94","1,750.38","1,781.31"
10/26/2023,"1,788.08","1,865.21","1,763.31","1,798.87"
10/25/2023,"1,771.60","1,816.51","1,761.12","1,788.04"
10/24/2023,"1,708.46","1,853.67","1,705.26","1,771.85"
10/23/2023,"1,640.72","1,722.74","1,635.07","1,708.78"
10/22/2023,"1,630.22","1,647.63","1,622.39","1,640.72"
10/21/2023,"1,603.26","1,641.47","1,593.46","1,630.22"
10/20/2023,"1,566.67","1,629.63","1,562.01","1,603.59"
10/19/2023,"1,562.03","1,573.75","1,543.59","1,565.88"
10/18/2023,"1,560.45","1,585.03","1,558.41","1,562.31"
10/17/2023,"1,588.26","1,604.94","1,554.00","1,560.91"
10/16/2023,"1,564.35","1,632.88","1,553.45","1,586.75"
10/15/2023,"1,555.62","1,565.47","1,550.18","1,564.20"
10/14/2023,"1,559.08","1,572.76","1,545.61","1,555.15"
10/13/2023,"1,536.21","1,559.61","1,533.79","1,559.61"
10/12/2023,"1,563.57","1,568.83","1,523.01","1,535.49"
10/11/2023,"1,560.05","1,578.03","1,548.94","1,563.28"
10/10/2023,"1,577.02","1,594.00","1,552.81","1,559.90"
10/09/2023,"1,637.22","1,638.99","1,551.97","1,577.03"
10/08/2023,"1,634.23","1,641.69","1,617.88","1,637.22"
10/07/2023,"1,647.08","1,659.36","1,631.32","1,634.13"
10/06/2023,"1,616.99","1,654.99","1,611.27","1,647.17"
10/05/2023,"1,641.96","1,654.41","1,609.90","1,616.91"
10/04/2023,"1,656.88","1,659.36","1,628.63","1,642.81"
10/03/2023,"1,667.08","1,670.26","1,644.62","1,656.88"
10/02/2023,"1,674.25","1,756.00","1,674.15","1,716.35"
10/01/2023,"1,680.36","1,692.13","1,668.20","1,674.25"
09/30/2023,"1,667.27","1,693.43","1,665.33","1,680.35"
09/29/2023,"1,656.50","1,687.47","1,644.20","1,667.04"
09/28/2023,"1,594.32","1,665.41","1,592.97","1,657.07"
09/27/2023,"1,586.19","1,632.16","1,583.53","1,594.33"
09/26/2023,"1,586.68","1,597.86","1,580.35","1,586.61"
09/25/2023,"1,590.66","1,596.17","1,564.11","1,586.68"
09/24/2023,"1,593.68","1,600.50","1,579.73","1,590.66"
09/23/2023,"1,591.52","1,598.00","1,588.21","1,593.68"
09/22/2023,"1,586.76","1,601.89","1,578.97","1,591.06"
09/21/2023,"1,624.13","1,629.32","1,568.91","1,588.24"
09/20/2023,"1,642.62","1,649.28","1,607.55","1,623.35"
09/19/2023,"1,638.01","1,659.86","1,627.67","1,642.87"
09/18/2023,"1,616.40","1,669.01","1,609.92","1,638.02"
09/17/2023,"1,635.44","1,638.21","1,615.31","1,617.37"
09/16/2023,"1,621.90","1,651.97","1,621.90","1,635.44"
09/15/2023,"1,626.52","1,636.09","1,612.62","1,621.50"
09/14/2023,"1,604.01","1,639.83","1,603.23","1,628.99"
09/13/2023,"1,597.61","1,610.15","1,582.00","1,604.73"
09/12/2023,"1,541.43","1,617.74","1,538.90","1,599.23"
09/11/2023,"1,618.62","1,627.00","1,532.00","1,540.25"
09/10/2023,"1,633.73","1,636.68","1,603.89","1,619.14"
09/09/2023,"1,636.28","1,637.92","1,629.73","1,633.73"
09/08/2023,"1,639.00","1,657.78","1,617.35","1,636.05"
09/07/2023,"1,628.00","1,640.82","1,623.08","1,638.72"
09/06/2023,"1,629.23","1,657.18","1,612.10","1,628.00"
09/05/2023,"1,627.90","1,645.50","1,609.63","1,629.31"
09/04/2023,"1,642.73","1,645.39","1,620.53","1,627.10"
09/03/2023,"1,634.30","1,645.36","1,625.25","1,642.73"
09/02/2023,"1,628.00","1,644.46","1,624.72","1,634.45"
09/01/2023,"1,648.08","1,654.00","1,603.23","1,629.34"
08/31/2023,"1,704.11","1,720.08","1,646.51","1,647.42"
08/30/2023,"1,727.26","1,734.73","1,696.46","1,703.25"
08/29/2023,"1,645.84","1,747.20","1,639.14","1,727.69"
08/28/2023,"1,653.31","1,662.82","1,624.75","1,645.84"
08/27/2023,"1,646.67","1,659.25","1,645.05","1,653.31"
08/26/2023,"1,649.25","1,654.73","1,643.24","1,646.92"
08/25/2023,"1,648.30","1,673.02","1,635.29","1,649.52"
08/24/2023,"1,684.14","1,684.92","1,638.01","1,648.30"
08/23/2023,"1,630.60","1,696.98","1,590.61","1,684.34"
08/22/2023,"1,672.50","1,674.77","1,620.61","1,630.52"
08/21/2023,"1,688.98","1,689.79","1,651.18","1,672.50"
08/20/2023,"1,670.90","1,692.93","1,662.04","1,688.54"
08/19/2023,"1,656.97","1,693.38","1,653.89","1,671.39"
08/18/2023,"1,716.26","1,719.84","1,558.80","1,657.64"
08/17/2023,"1,807.93","1,813.43","1,708.20","1,715.99"
08/16/2023,"1,827.76","1,829.71","1,800.13","1,807.39"
